"","x"
"421","FBgn0036950"
"422","FBgn0052224"
"423","FBgn0052228"
"424","FBgn0263844"
"425","FBgn0263845"
"426","FBgn0037023"
"427","FBgn0266932"
"428","FBgn0037042"
"429","FBgn0037085"
"430","FBgn0267618"
"431","FBgn0267620"
"432","FBgn0000560"
"433","FBgn0264487"
"434","FBgn0267453"
"435","FBgn0085291"
"436","FBgn0267321"
"437","FBgn0037183"
"438","FBgn0058354"
"439","FBgn0267430"
"440","FBgn0266747"
"441","FBgn0085812"
"442","FBgn0037227"
"443","FBgn0037254"
"444","FBgn0020280"
"445","FBgn0267140"
"446","FBgn0263343"
"447","FBgn0040684"
"448","FBgn0037296"
"449","FBgn0001311"
"450","FBgn0051551"
"451","FBgn0266229"
"452","FBgn0037389"
"453","FBgn0266226"
"454","FBgn0037398"
"455","FBgn0037449"
"456","FBgn0037456"
"457","FBgn0250846"
"458","FBgn0263383"
"459","FBgn0262897"
"460","FBgn0267120"
"461","FBgn0266239"
"462","FBgn0037512"
"463","FBgn0037571"
"464","FBgn0037572"
"465","FBgn0266242"
"466","FBgn0263389"
"467","FBgn0085331"
"468","FBgn0262105"
"469","FBgn0266244"
"470","FBgn0265161"
"471","FBgn0037827"
"472","FBgn0037837"
"473","FBgn0267138"
"474","FBgn0266245"
"475","FBgn0263403"
"476","FBgn0267139"
"477","FBgn0261291"
"478","FBgn0267141"
"479","FBgn0037916"
"480","FBgn0267675"
"481","FBgn0051358"
"482","FBgn0260231"
"483","FBgn0260230"
"484","FBgn0037986"
"485","FBgn0264829"
"486","FBgn0038012"
"487","FBgn0038051"
"488","FBgn0038090"
"489","FBgn0085337"
"490","FBgn0038158"
"491","FBgn0038159"
"492","FBgn0265168"
"493","FBgn0038204"
"494","FBgn0038218"
"495","FBgn0038219"
"496","FBgn0266248"
"497","FBgn0262514"
"498","FBgn0267159"
"499","FBgn0266249"
"500","FBgn0038342"
"501","FBgn0263022"
"502","FBgn0038386"
"503","FBgn0266703"
"504","FBgn0267190"
"505","FBgn0267694"
"506","FBgn0020556"
"507","FBgn0015230"
"508","FBgn0267315"
"509","FBgn0085309"
"510","FBgn0267719"
"511","FBgn0267720"
"512","FBgn0038567"
"513","FBgn0266564"
"514","FBgn0266565"
"515","FBgn0038568"
"516","FBgn0267194"
"517","FBgn0038626"
"518","FBgn0085312"
"519","FBgn0267706"
"520","FBgn0038691"
"521","FBgn0038695"
"522","FBgn0051404"
"523","FBgn0038714"
"524","FBgn0266381"
"525","FBgn0265550"
"526","FBgn0265551"
"527","FBgn0264840"
"528","FBgn0038851"
"529","FBgn0038859"
"530","FBgn0267713"
"531","FBgn0263130"
"532","FBgn0264825"
"533","FBgn0264426"
"534","FBgn0038960"
"535","FBgn0039002"
"536","FBgn0265157"
"537","FBgn0263777"
"538","FBgn0264740"
"539","FBgn0264741"
"540","FBgn0039177"
"541","FBgn0039201"
"542","FBgn0054027"
"543","FBgn0083946"
"544","FBgn0051099"
"545","FBgn0267212"
"546","FBgn0039408"
"547","FBgn0267731"
"548","FBgn0042711"
"549","FBgn0002838"
"550","FBgn0261996"
"551","FBgn0039504"
"552","FBgn0265314"
"553","FBgn0263453"
"554","FBgn0267746"
"555","FBgn0039577"
"556","FBgn0039585"
"557","FBgn0013813"
"558","FBgn0267107"
"559","FBgn0039669"
"560","FBgn0260969"
"561","FBgn0039739"
"562","FBgn0267780"
"563","FBgn0264837"
"564","FBgn0039744"
"565","FBgn0039758"
"566","FBgn0267782"
"567","FBgn0267131"
"568","FBgn0039810"
"569","FBgn0039812"
"570","FBgn0062411"
"571","FBgn0053773"
